CODIGO_CLIENTE;NOME_CLIENTE;DATA_NASCIMENTO;IDADE_CLIENTE;DESCRICAO_ENDERECO;NUMERO_ENDERECO;NOME_CIDADE;NUMERO_TELEFONE;EMAIL_CLIENTE;OCUPACAO_CLIENTE
55;Ana Laura Correia;2000-11-05;23;Setor de da Conceição;52;Mendes da Praia;(084) 4557 4460;znovaes@castro.com;Delegado
56;Ana Laura Farias;2005-04-29;18;Largo Oliveira;96;Campos das Pedras;+55 (051) 2668-5950;ninaferreira@martins.com;Militar da Aeronáutica
57;Ana Laura Gomes;2005-06-14;18;Setor Ferreira;7;da Paz;(081) 0097-6900;lais29@uol.com.br;Tenista
58;Ana Laura Jesus;1986-03-06;37;Alameda Beatriz Correia;90;Peixoto do Galho;+55 (061) 7760-4581;zpereira@hotmail.com;Neonatologista
59;Ana Laura Oliveira;1971-01-23;53;Distrito das Neves;52;Nunes do Sul;+55 (041) 2801 7477;pedro-henrique32@gmail.com;Tecnólogo em produção Sucroalcooleira
60;Ana Laura Ribeiro;1996-03-08;27;Lago Dias;22;Oliveira;84 7728 6495;inogueira@cunha.br;Técnico em óptica
61;Ana Laura Silva;1983-11-23;40;Vila Campos;15;da Cunha;+55 (051) 8738 4036;vitorrezende@da.br;Moldador
62;Ana Laura Silveira;1989-04-05;34;Chácara Pedro Lucas Araújo;24;Oliveira;+55 71 5236 0507;uviana@almeida.br;Instrumentista musical
63;Ana Laura da Mata;2013-07-29;10;Estrada Rocha;37;Dias do Sul;0800 707 8674;ana-laura30@costela.net;Arquiteto
64;Ana Lopes;2001-12-07;22;Vereda de Jesus;95;das Neves Verde;+55 81 2954-0607;vpires@sales.com;Técnico em óptica
65;Ana Luiza Araújo;1993-08-29;30;Travessa Matheus Novaes;49;Rocha;+55 21 5910-0756;luizarocha@pinto.com;Bedel
66;Ana Luiza Costa;1977-10-15;46;Largo Oliveira;44;Fogaça de Minas;+55 (021) 4551 9129;gmoura@pereira.com;Engenheiro de aquicultura
67;Ana Luiza Duarte;2013-11-14;10;Parque Caldeira;54;Mendes de Oliveira;84 0071-8065;salesmaria-vitoria@barros.br;Agente de viagens
68;Ana Luiza Fogaça;1990-04-14;33;Conjunto Bianca Castro;629;Nogueira do Campo;0300-327-1270;upinto@uol.com.br;Letrista
69;Ana Luiza Martins;2021-07-04;2;Condomínio de Costela;395;Rodrigues;41 9365-4515;kevincunha@da.com;Bartender
70;Ana Luiza Nunes;1997-03-12;26;Área de Costela;68;Nascimento Paulista;+55 (051) 2229 6660;das-nevesmaria-clara@uol.com.br;Escriturário
71;Ana Luiza Pires;1994-02-24;29;Viaduto Sales;57;Cunha;0300 335 0272;cavalcantiheloisa@da.net;Pediatra
72;Ana Luiza Pires;1976-12-26;47;Loteamento de Carvalho;79;Pereira de Costela;71 0031 9749;gustavodas-neves@fernandes.br;Agente penitenciário
73;Ana Lívia Azevedo;1976-05-23;47;Colônia Alice Carvalho;41;Teixeira de Teixeira;+55 71 8243 3125;pmoraes@ramos.com;Parteira tradicional
74;Ana Lívia Caldeira;1979-02-21;44;Conjunto de Ferreira;6;Oliveira;+55 (084) 6120 0936;upires@bol.com.br;Cerimonialista
75;Ana Lívia Fogaça;1978-03-15;45;Praia de Costela;877;Gonçalves;+55 84 3696-2020;kevin85@caldeira.org;Personal trainer
76;Ana Lívia Sales;1999-01-26;25;Recanto Duarte;10;Nunes do Campo;+55 (061) 1008 0915;fogacanatalia@yahoo.com.br;Maitre
77;Ana Mendes;2016-05-22;7;Ladeira de Moraes;1;da Mata;+55 (051) 5764 8717;limalais@goncalves.com;Motofrete
78;Ana Monteiro;1984-02-11;39;Núcleo da Costa;209;Nogueira;+55 (081) 0077-0597;usilva@gomes.com;Secretária
79;Ana Porto;1980-01-14;44;Praça Barros;18;da Rocha de Araújo;84 1017 5643;smoraes@aragao.com;Windsurfer
80;Ana Ribeiro;2005-05-22;18;Chácara Almeida;95;da Costa;+55 (084) 8406 0189;fernandapereira@nunes.net;Astrólogo
81;Ana Sophia Alves;1971-12-22;52;Aeroporto de Jesus;330;Azevedo dos Dourados;0300 019 2298;ggoncalves@yahoo.com.br;Escrivão
82;Ana Sophia Azevedo;1999-12-17;24;Parque Maria Eduarda Martins;80;Dias dos Dourados;+55 51 3084 9318;calebe18@ig.com.br;Co-piloto
83;Ana Sophia Campos;2008-07-31;15;Quadra de Araújo;74;Rocha;81 5391-7104;nogueiracaua@uol.com.br;Cumim
84;Ana Sophia Silveira;1976-02-10;47;Núcleo da Cunha;15;Aragão;21 0515-6594;aragaoenzo-gabriel@barros.com;Gestor de qualidade
85;Ana Sophia da Rosa;1985-05-22;38;Vila de Rocha;61;Viana;+55 61 3676-5928;heloisa23@azevedo.org;Engenheiro físico
86;Ana Vieira;1971-06-19;52;Pátio Lavínia Silva;74;Martins;+55 (011) 2358-9368;francisco35@da.br;Psiquiatra
87;Ana Vitória Fogaça;1977-06-30;46;Rua de Correia;29;Ribeiro Alegre;(061) 9282-6270;castronicolas@hotmail.com;Economista
88;Ana Vitória Nunes;2000-01-21;24;Passarela de da Cruz;99;Alves de Vieira;71 0531 8470;varagao@hotmail.com;Corretor de seguros
89;Ana Vitória Sales;1978-03-05;45;Aeroporto Costela;328;Caldeira;(031) 0059 8647;alicecarvalho@bol.com.br;Assessor parlamentar
90;Ana Vitória Santos;2006-11-15;17;Feira Heloísa Gonçalves;16;Ribeiro da Mata;+55 71 5356-2848;joana34@yahoo.com.br;Jardineiro
91;Ana Vitória da Mata;1984-10-30;39;Quadra Pereira;9;Nogueira;51 1332 2541;rochayasmin@gomes.com;Promotor público/de justiça
92;Ana Vitória da Mota;2010-06-20;13;Vereda de Fernandes;2;Castro da Prata;+55 71 2100 9838;ramosdavi-lucas@yahoo.com.br;Jogador de basquete
93;Ana Vitória da Rosa;2011-03-01;12;Campo de Silveira;576;Nascimento de Pires;+55 (011) 4589 6614;alice84@bol.com.br;Meredeira
94;Ana da Rocha;1995-09-03;28;Área Bruna da Mata;20;Santos;0800 963 6998;isabelly17@bol.com.br;Lutador de taekwondo
95;André Cardoso;2017-10-18;6;Favela Theo Castro;83;Cardoso de Duarte;+55 (051) 8819 8840;erickcunha@monteiro.br;Militar do Exército
96;André Fernandes;1979-04-07;44;Feira Gomes;66;Rocha da Prata;61 7790 9497;nascimentovalentina@hotmail.com;Mestre cervejeiro
97;André Santos;2005-07-15;18;Jardim Sales;40;Costa do Galho;(084) 9597 8128;emilly64@da.org;Trilheiro ou músico de cinema
98;André Santos;2013-09-22;10;Campo da Cruz;12;Duarte do Galho;+55 (021) 4067-2000;gduarte@teixeira.net;Profissional de comércio exterior
99;André Souza;2010-04-20;13;Aeroporto Esther da Conceição;36;Barros das Flores;31 5813 8722;garagao@uol.com.br;Controlador de vôo
100;Anthony Rocha;2001-06-23;22;Travessa Almeida;5;Peixoto;0300 124 9147;lmoura@uol.com.br;Motorista
101;Anthony Souza;1980-09-06;43;Rua Cardoso;134;Nascimento;+55 (081) 5887-2671;mariana52@sales.com;Aeromoça
102;Anthony da Paz;2021-08-20;2;Esplanada Kevin Correia;25;Teixeira;+55 (011) 6160 1850;stephanyfreitas@aragao.com;Músico
103;Antônio Barbosa;1974-09-09;49;Campo Moreira;59;Dias;(031) 4345-0427;nunesjoao-miguel@rocha.com;Maestro
104;Antônio Dias;2017-06-06;6;Loteamento de da Cruz;15;Novaes;+55 (051) 1633-8494;lopesmaria-sophia@bol.com.br;Dançarino
105;Antônio Farias;1983-09-23;40;Praia João Vitor Oliveira;45;Santos;(051) 1254-8018;tribeiro@ig.com.br;Designer gráfico
106;Antônio Fernandes;2002-08-23;21;Estação João Lucas Pereira;41;Moreira do Sul;(011) 9401 5874;teixeiraana-sophia@rezende.com;Paisagista
107;Antônio Fernandes;1970-12-08;53;Trevo de da Cruz;457;Lima;+55 51 6974 4031;costaemanuel@almeida.net;Profissional de rádio e tv
108;Antônio Freitas;1991-07-02;32;Colônia de da Conceição;9;Almeida de das Neves;+55 11 8793-6230;oliveiraevelyn@yahoo.com.br;Técnico em desporto
109;Antônio Pereira;1987-11-13;36;Campo Maria Sophia Silva;64;da Conceição da Prata;+55 81 9263 1026;wazevedo@da.org;Odontopediatra
110;Antônio Ramos;1988-12-29;35;Aeroporto Oliveira;69;da Conceição do Amparo;(041) 5252-9029;brenodias@yahoo.com.br;Investigador de Polícia
111;Antônio da Cruz;2020-01-06;4;Conjunto Silveira;28;Pinto de Pinto;(081) 0215-6541;pietromonteiro@vieira.com;Paisagista
112;Arthur Costela;2004-02-15;19;Trevo de da Luz;192;Silva;+55 31 1114 8077;calves@bol.com.br;Astrofísico
113;Arthur Ribeiro;2001-06-24;22;Travessa de Pinto;10;da Mota de Viana;41 1065 5312;pietro18@castro.com;Lamboteiro
114;Arthur Rocha;1970-08-15;53;Favela de Caldeira;82;Santos;(031) 6459-1214;pietrogomes@bol.com.br;Ortoptista
115;Arthur Teixeira;2019-11-06;4;Jardim de Gomes;23;da Cunha;(021) 3468 0184;maria-clarateixeira@bol.com.br;Manobrista
116;Augusto Aragão;1990-11-01;33;Chácara de Porto;34;Pereira de Goiás;+55 (041) 1689-2579;livia95@uol.com.br;Dublador
117;Augusto Cunha;1991-10-30;32;Pátio Pinto;11;Silveira;31 9620 5384;nogueirajulia@martins.br;Chapeiro
118;Augusto Jesus;2013-08-07;10;Feira das Neves;77;Pires;+55 (061) 2137 6443;barbosacaue@gomes.br;Lutador de jiu-jitsu
119;Augusto Sales;2017-09-15;6;Residencial Vieira;10;Cardoso;(011) 2926 6893;lpereira@ig.com.br;Nutricionista
120;Beatriz Almeida;1980-07-05;43;Distrito de Nunes;57;Almeida;+55 81 8250-7752;ecardoso@ig.com.br;Perfusionista
121;Beatriz Porto;2017-12-13;6;Vale de Pereira;4;Rocha de Minas;(061) 1290-7957;cvieira@rocha.br;Agricultor
122;Beatriz Silva;1985-03-16;38;Fazenda de Freitas;58;Melo;61 3216-4116;da-conceicaocaua@gmail.com;Soldador
123;Beatriz da Cruz;1988-06-25;35;Vereda de Jesus;5;Farias de Viana;(071) 5435-3837;imoreira@carvalho.com;Massagista
124;Benjamin Martins;2024-01-13;0;Conjunto Theo Souza;77;da Rosa de Farias;+55 (061) 8985-9488;maragao@yahoo.com.br;Garimpeiro
125;Benjamin Oliveira;2022-08-14;1;Estação Enzo Nunes;60;Gonçalves de Pires;+55 81 0280 2981;valentinarodrigues@bol.com.br;Técnico tributarista
126;Benício Campos;2003-02-19;20;Favela Peixoto;73;Gomes do Campo;84 9329 1822;melissada-mota@fernandes.br;Mãe social
127;Benício Carvalho;1980-11-07;43;Feira de Moraes;15;Cardoso;(031) 1536-1547;vitoria56@gmail.com;Continuista
128;Benício Ferreira;1995-07-20;28;Praia de Carvalho;34;da Cruz;61 3907 7602;maite19@uol.com.br;Comandante
129;Benício Jesus;1994-03-02;29;Morro de Teixeira;44;Porto da Serra;(084) 3094-2562;vda-luz@melo.br;Escritor
130;Benício Lopes;2007-10-15;16;Travessa Ramos;10;Oliveira de Goiás;+55 (031) 5671 2074;azevedovicente@ig.com.br;Coronel
131;Benício Novaes;1977-01-29;47;Loteamento de Alves;30;Campos de Minas;+55 (011) 7596-5780;levi78@da.com;Estilista
132;Benício Souza;2019-03-06;4;Setor Monteiro;15;Fernandes de da Mota;0800-855-3862;cfernandes@bol.com.br;Assistente de câmera
133;Benício da Cunha;2015-11-26;8;Lago de da Rocha;79;da Conceição Paulista;+55 (061) 8716-1199;theo33@yahoo.com.br;Continuista
134;Bernardo Araújo;2002-05-08;21;Residencial Teixeira;731;da Cruz;+55 (021) 2865 8645;da-matadaniel@viana.br;Diagramador
135;Bernardo Campos;2015-12-10;8;Lagoa Fernanda Araújo;670;Rezende;84 0741 9819;alana17@uol.com.br;Engenheiro petroquímico
136;Bernardo Peixoto;2013-03-11;10;Aeroporto Isadora Nascimento;746;Ferreira do Norte;81 9213 5975;cardososabrina@farias.com;Jogador de handebol
137;Bernardo da Mata;2008-03-15;15;Trevo de Nunes;33;Barbosa;0300 002 9966;laura56@pinto.net;Agente comunitário de saúde
138;Bianca Araújo;2012-01-05;12;Jardim Clarice da Rosa;75;Lima;0900-508-5683;carvalhomaria-fernanda@da.com;Guarda roupeiro
139;Bianca Carvalho;2014-11-29;9;Praça de Novaes;4;da Cunha de Cardoso;+55 (041) 1144 5570;pfogaca@farias.net;Maquinista
140;Bianca Duarte;2012-12-25;11;Residencial Nascimento;47;Almeida de da Mata;+55 51 2602 8614;camposmanuela@porto.com;Pintor
141;Bianca Duarte;2003-11-12;20;Aeroporto Marina Santos;39;Vieira;61 0493 2269;joao-felipenascimento@santos.br;Engenheiro agrônomo
142;Bianca Ferreira;2018-07-29;5;Lago Isis Gomes;16;Castro de Silva;0800-931-7424;moraesthomas@silva.org;Afiador de ferramentas
143;Bianca Jesus;2015-07-10;8;Lagoa de Rocha;99;Silveira das Flores;21 9437 7548;ana-juliamelo@peixoto.org;Clínico geral
144;Bianca Mendes;2023-03-10;0;Vila de da Rosa;411;Fogaça;61 9390 5072;davi77@almeida.net;Esgrimista
145;Bianca Pinto;2018-12-17;5;Ladeira de Barbosa;22;da Rocha do Campo;+55 (051) 4921 1972;llopes@mendes.br;Dermatologista
146;Bianca Santos;2008-04-01;15;Parque de Nascimento;43;Rocha do Amparo;84 8280-3503;vitor68@gmail.com;Profissional de manutenção industrial
147;Brenda Aragão;1976-12-20;47;Viela Ana Carolina Moraes;29;Caldeira;51 9276 5740;xmoreira@ig.com.br;Chapeiro
148;Brenda Correia;1982-04-07;41;Colônia de Martins;941;Dias;0900 010 2987;jnunes@gmail.com;Tintureiro
149;Brenda Cunha;1973-08-20;50;Estrada de Porto;2;Silva do Oeste;0500-191-4188;zalmeida@yahoo.com.br;Engenheiro físico
150;Brenda Ferreira;2018-07-17;5;Trevo Cavalcanti;93;das Neves de Gonçalves;+55 21 9332-2945;camposfrancisco@sales.br;Deputado
151;Brenda Lopes;1991-04-13;32;Favela de Araújo;52;Cavalcanti de Cardoso;(081) 0839 8942;novaesvalentina@yahoo.com.br;Hematologista
152;Brenda Rezende;1999-07-04;24;Passarela Pedro Lucas Ferreira;53;Monteiro das Flores;+55 (031) 8045-1685;jesuslucca@campos.br;Personal stylist
153;Brenda da Mata;1974-05-05;49;Distrito Rezende;687;Moraes;+55 (071) 0773 3847;salmeida@hotmail.com;Gestor de recursos humanos
154;Brenda da Rosa;1971-08-22;52;Vila Cardoso;1;Ribeiro;0900-129-2862;emoraes@gmail.com;Passador
155;Breno Barros;1973-12-03;50;Lagoa Martins;14;Novaes;+55 (031) 9626-7639;gabrielly32@bol.com.br;Pesquisador
156;Breno Carvalho;2012-03-26;11;Praça Luigi Costa;70;Mendes dos Dourados;84 2746 4223;pietrasantos@hotmail.com;Cobaia Médica
157;Breno Dias;2002-01-16;22;Loteamento Isadora Sales;5;Ramos Paulista;+55 71 8354 4476;da-cruzvicente@gmail.com;Topógrafo
158;Breno Pires;1989-09-29;34;Parque Melissa Correia;511;Ramos;(051) 1765-6734;luigicaldeira@mendes.net;Carpinteiro
159;Breno Ribeiro;1977-05-15;46;Estação Silveira;29;da Cruz;84 0965-6484;calebegoncalves@sales.com;Presidente da República
160;Breno da Luz;2009-02-11;14;Condomínio Sofia Novaes;66;Rezende;+55 (041) 5661-7470;aviana@ig.com.br;Cartazeiro
161;Bruna Cunha;1989-10-22;34;Viela Lara Castro;7;Moura da Serra;+55 (081) 0067-7883;isabelly02@costa.com;Cobrador de pedágio
162;Bruna Fernandes;2003-06-06;20;Estrada de das Neves;48;Oliveira;+55 41 5343 4245;juanoliveira@pinto.com;Massagista
163;Bruna Gomes;1973-10-07;50;Travessa Correia;47;Costela;+55 (011) 9426-7247;ana-vitoriasouza@ribeiro.br;Maquiador
164;Bruna Lopes;1977-05-09;46;Feira de da Luz;60;Azevedo Grande;(081) 5964 9378;yagonunes@santos.br;Atendente
165;Bruna Pires;1999-12-16;24;Passarela Correia;92;Cardoso de Carvalho;+55 71 6591-3182;nicolasmoreira@freitas.com;Auxiliar de reprografia
166;Bruno Nascimento;2008-01-19;16;Vale Nicolas da Rocha;30;Silveira;0800 051 7138;agatha26@bol.com.br;Produtor de audio visual
167;Bruno Novaes;1994-11-06;29;Vila Cardoso;99;Barbosa Grande;71 6472 9474;ndias@rodrigues.br;Agrônomo
168;Bruno Santos;2016-06-21;7;Campo de Nogueira;640;Farias de Nascimento;(031) 8011 0178;alana78@gmail.com;Publicitário
169;Bruno da Rocha;1976-01-01;48;Campo Almeida;799;Melo do Amparo;+55 11 7211-3491;isaac24@yahoo.com.br;Guincheiro
170;Bryan Duarte;1978-05-27;45;Estrada de Santos;91;Sales;51 5649 9350;ppires@aragao.br;Agrimensor
171;Bryan Moura;1978-08-07;45;Recanto Agatha Costela;951;Moreira;+55 (041) 1509 6689;rcostela@pinto.com;Pintor
172;Bryan Silva;2016-07-14;7;Vale de Cardoso;6;Freitas de Pinto;(071) 2411-7652;juan80@ig.com.br;Ajudante de produção
173;Bryan da Costa;1992-03-01;31;Setor Jesus;41;Nascimento;+55 (011) 3926-8227;teixeiraleonardo@cavalcanti.org;Endocrinologista
174;Bárbara Costa;1989-08-09;34;Condomínio de Fogaça;4;Viana de Carvalho;+55 (041) 6094 3404;cda-mota@hotmail.com;Panfleteiro
175;Bárbara Gomes;1986-08-09;37;Distrito Arthur da Luz;26;Ramos;21 7864-1885;kevin63@hotmail.com;Tatuador
176;Bárbara Gonçalves;2007-01-20;17;Morro Isadora da Paz;21;Araújo de Minas;(071) 2264-4462;clara08@correia.br;Técnico em hardware
177;Bárbara da Luz;2017-03-15;6;Lago Duarte;37;Porto;31 7540-0418;pedro-henriqueda-luz@pinto.com;Paramédico
178;Bárbara da Mota;2008-07-12;15;Estação de Peixoto;6;Gonçalves da Mata;+55 84 1061-2598;ymoura@gomes.com;Marcador de luz
179;Bárbara das Neves;1992-03-31;31;Alameda Bruna da Mata;33;da Cunha;11 9244-2553;luiz-fernando92@ig.com.br;Pedreiro
180;Calebe Campos;2018-07-23;5;Vila Fogaça;477;Monteiro do Oeste;+55 (021) 8395 0894;freitasisabella@moreira.br;Guia turistico
181;Calebe Cardoso;1997-11-15;26;Rodovia Camila das Neves;28;Porto;+55 (041) 9606-7313;livia90@hotmail.com;Tecnólogo em navegação fluvial
182;Calebe Fogaça;1987-05-12;36;Avenida Ribeiro;56;Viana da Mata;+55 11 9750 1592;isabel82@yahoo.com.br;Comandante
183;Calebe Moraes;1971-12-14;52;Viela de Araújo;66;Rocha Verde;(081) 7051 1475;cardosomaria-eduarda@fernandes.com;Angiologista
184;Calebe Moreira;2019-06-07;4;Parque de Rocha;8;Vieira de Gomes;21 0011 5452;silveiraheitor@uol.com.br;Engenheiro de som
185;Calebe Pereira;2002-04-03;21;Avenida de Sales;33;Melo da Praia;+55 81 7357-5652;bsilva@ig.com.br;Revisor
186;Camila Castro;2008-09-01;15;Parque Amanda Moura;680;da Cunha do Norte;(084) 3109-5247;barroslais@ig.com.br;Engenheiro de som
187;Camila Rodrigues;2009-04-23;14;Ladeira Olivia da Cunha;5;Souza;(084) 8036-3318;vitor56@ig.com.br;Ambientalista
188;Camila da Paz;1974-03-31;49;Travessa Rebeca Ferreira;66;da Rocha do Galho;(031) 0064-5454;fernanda08@hotmail.com;Copeiro
189;Carlos Eduardo Fogaça;2019-07-10;4;Trevo Nogueira;17;Farias de Costa;71 1308-0560;olivia58@da.com;Leiteiro
190;Carlos Eduardo Gomes;2023-07-02;0;Lagoa Ramos;74;Pereira da Serra;(081) 9733 5672;francisco23@bol.com.br;Tecnólogo em papel e celulose
